ISO,Continent,Groups,EEZ Area (km²),Saltmarshes Area (km²),Seagrasses Area (km²),Mangroves Area (km²),Total BCEs Area (km²),Saltmarshes Sequestration (tC),Saltmarshes SE,Seagrasses Sequestration (tC),Seagrasses SE,Mangroves Sequestration (tC),Mangroves SE,Total BCEs Sequestration (tC),Total BCEs SE (tC),BCP Sequestration (tC),Total Blue Carbon Sequestration (tC),Total Blue Carbon Sequestration SE
AE,Asia,,6199.306012,,,,,,,,,,,,,,,
AFG,Asia,LDCs,641860.3931,,,,,,,,,,,,,,,
US-AK,Americas,,5193058.289,1620.9523537258,150.5064595777,,1771.4588133035002,272320.0,0.0,32925.2109375,208.3724712108054,,,305245.25,208.3724712108054,,305245.25,208.3724712108054
ALB,Europe,Developed economies,40953.54483,46.5780205364,44.0192567338,,90.5972772702,7825.109,6.905512299990404e-06,9629.7744140625,60.943575097357744,,,17454.880859375,60.943575097357744,77900.0,95354.8828125,60.943575097357744
DZA,Africa,Developing economies,2444283.56,,40.4831979324,,40.4831979324,,,8856.216796875,56.0479870058004,,,8856.216796875,56.0479870058004,3000000.0,3008856.25,56.04798408244479
ES-ALH,Africa,,14.10069656,,,,,,,,,,,,,,,
ASM,Oceania,SIDS,406038.4238,0.0012361478,461.078688911,0.318919196,461.3988442548,0.20767283,0.0,100866.8515625,638.3520652613894,59.08498,0.5182810731287977,100926.140625,638.3511781964338,,100926.140625,638.3511781964338
ATF-1,Africa,Developing economies,512251.8623,,,,,,,,,,,,,,,
IN-AN,Asia,,671991.0163,,1646.1551333168,561.3487158309,2207.5038491477,,,360117.4375,2279.061218197751,103999.0,912.2574582915892,464116.46875,2453.116847498058,,464116.46875,2453.116847498058
AND,Europe,Developed economies,467.9036281,,,,,,,,,,,,,,,
AGO,Africa,LDCs,1742905.72,,592.8554747721,280.6529351198,873.5084098919001,,,129694.7109375,820.7937678144394,51995.53,456.0939213399518,181690.234375,938.1813845534966,12000000.0,12181691.0,938.1813845534966
AIA,Caribbean,SIDS,90247.35378,,15.0100055743,0.0352719381,15.045277512399998,,,3283.63037109375,20.78098247873856,6.5347013,0.0573210332037235,3290.165283203125,20.78094404163976,,3290.165283203125,20.78094404163976
ATA,,,12524451.06,,,,,,,,,,,,,,,
ATG,Caribbean,SIDS,112003.5377,,249.6354414798,8.691842744,258.3272842238,,,54610.9453125,345.6141017507336,1610.3058,14.12526405538076,56221.24609375,345.87361725409994,216760.0,272981.28125,345.87361725409994
